Contact_ID,MNI_X,MNI_Y,MNI_Z
RCS15_L08,-25.56824849,-37.01514012,73.39704987
RCS16_R11,24.06516461,-8.248185946,73.16515113
RCS16_R10,24.61202746,-17.91011959,77.00657488
RCS16_R09,23.0938171,-29.3260289,77.41088204
RCS16_R08,22.21451375,-41.04235632,76.13397848
RCS16_L11,-31.18991058,-12.68886798,71.97705694
RCS16_L10,-31.14803345,-26.32066269,74.92314388
RCS16_L09,-30.06384635,-36.716279,74.11128715
RCS16_L08,-29.02545877,-47.19708125,71.94039932
RCS17_R11,38.92099973,-7.801354037,68.95625003
RCS17_R10,36.86571176,-19.12022624,73.066643
RCS17_R09,33.25659694,-28.91819571,74.12820544
RCS17_R08,29.09897518,-38.50356407,75.47458586
RCS17_L11,-28.10614271,-10.25353707,75.03102893
RCS17_L10,-27.952305,-20.79041344,77.02640489
RCS17_L09,-26.87433513,-31.74478251,77.24466338
RCS17_L08,-25.62372004,-41.58348043,76.17704244
RCS18_R11,31.13375172,-7.79313514,69.95682468
RCS18_R10,30.426112,-19.70571722,73.20443472
RCS18_R09,28.93497416,-29.54818438,73.33989613
RCS18_R08,25.26965001,-38.87064404,72.2755417
RCS18_L11,-30.98527351,-7.059678128,68.95676443
RCS18_L10,-33.33109806,-17.91778992,73.38555504
RCS18_L09,-32.69987956,-28.82274299,73.32973619
RCS18_L08,-31.575712,-39.14640809,70.7679257
RCS19_R11,28.74908,-9.521593797,73.35798743
RCS19_R10,26.29701131,-21.35974331,77.19800049
RCS19_R09,22.84764298,-29.86778635,76.84228403
RCS19_R08,21.67829839,-40.72637257,77.55870595
RCS19_L11,-25.3022044,-8.348377725,73.0689046
RCS19_L10,-24.80200588,-18.97467127,76.76087724
RCS19_L09,-22.24683385,-29.54538405,78.59463824
RCS19_L08,-21.13737703,-39.11246186,76.83801241
RCS20_R11,32.10198644,-5.621430544,71.87145764
RCS20_R10,32.64195763,-15.91345094,74.84301953
RCS20_R09,29.30589736,-26.25028383,76.66951113
RCS20_R08,27.88877967,-35.59468653,76.3764691
RCS20_L11,-25.44948238,-12.20954532,76.2157206
RCS20_L10,-23.82056908,-23.5678324,78.44407115
RCS20_L09,-22.11575118,-32.84866375,79.04751571
RCS20_L08,-20.38539668,-43.68486021,78.15081683
