,sub,ch,corr,per,x_mni,y_mni,z_mni
0,rcs02l,8-10,0.0017475251880281323,0.9584746199054084,-32.72343263,-22.759860075,70.97578805
1,rcs02l,9-11,-0.03911310094436289,0.9653115414886028,-32.26551617,-13.038730061,70.17577501
2,rcs02r,9-11,-0.7162602132940737,0.9412385531135532,26.04009487,-11.1378082755,72.449713505
3,rcs02r,8-10,-0.7162602132940737,0.9390064102564102,23.533525275,-20.047585425,76.68737879
4,rcs03l,10-11,-0.6394179185569975,0.8631658672052511,-22.087963265,-12.7140476885,75.371599555
5,rcs03l,8-9,-0.018952128991581753,0.8977026003534461,-19.678148605,-33.173569385,76.62893437
6,rcs05l,9-11,-0.4683046406124362,0.4754954268292682,-22.99367461,-10.962168913,71.777550055
7,rcs05l,8-10,-0.5649867917432994,0.4754954268292682,-22.36595466,-20.22381987,73.745953835
8,rcs05r,9-11,-0.5007679847790389,0.6587125416204218,31.189093315,-3.0520092605,67.66066752500001
9,rcs05r,8-10,-0.7408864239637628,0.6971883092859785,32.02601573,-12.5004186485,69.77696519
10,rcs06l,9-11,-0.02156708847520429,0.8491171989364562,-24.70710763,-21.1988911715,74.400113745
11,rcs06l,8-10,-0.02156708847520429,0.8473993965285453,-25.36064592,-31.782890945,74.86944714
12,rcs06r,9-11,-0.7577412464229468,0.828167701863354,37.24180247,-16.7978347675,69.70980353
13,rcs06r,8-10,-0.7577412464229468,0.8207453416149069,35.514306135,-28.618424835,71.787552155
14,rcs07l,9-11,0.007204621925251944,0.8686518785961971,-32.504363215,-13.8066896075,70.55886412000001
15,rcs07l,8-10,0.017280561572825016,0.87128115116412,-34.44032157,-23.04216805,71.48458397
16,rcs07r,9-11,-0.6860067689193218,0.8366454788593318,26.829448165,-15.026175040999998,73.18277109499999
17,rcs07r,8-10,0.624106173596112,0.8457259677171254,25.71014281,-23.14259667,74.142689255
18,rcs08l,9-11,-0.688513538874262,0.7845940043676791,-27.56003859,-21.408809815,70.709112325
19,rcs08l,8-10,0.00024302336962692256,0.7857851895969823,-26.31402467,-32.49177045,71.147779235
20,rcs08r,9-11,0.2288050090104739,0.688704616763783,36.029798815,-10.615611618,65.44866412
21,rcs08r,8-10,-0.7414243424035935,0.6918422232182877,37.473659455,-19.263933394,66.54731960999999
22,rcs09l,8-9,0.5735004329932522,0.4898504273504274,-21.767901345,-37.141886760000006,74.81117616
